127.0.0.1 - - [19/Dec/2025 04:22:43] "HEAD / HTTP/1.1" 200 -
10.2.70.85 - - [19/Dec/2025 04:22:47] "GET /contact.html HTTP/1.1" 200 -
10.2.70.85 - - [19/Dec/2025 04:22:47] "GET /css/style.css HTTP/1.1" 200 -
10.2.70.85 - - [19/Dec/2025 04:22:47] "GET /assets/logo-icon.png HTTP/1.1" 200 -
10.2.70.85 - - [19/Dec/2025 04:22:47] "GET /js/script.js HTTP/1.1" 200 -
10.2.70.85 - - [19/Dec/2025 04:22:47] "GET /assets/hero4.jpg HTTP/1.1" 200 -
10.2.70.85 - - [19/Dec/2025 04:23:17] "GET /index.html HTTP/1.1" 200 -
10.2.70.85 - - [19/Dec/2025 04:23:17] "GET /assets/About2.png HTTP/1.1" 200 -
10.2.70.85 - - [19/Dec/2025 04:23:17] "GET /js/script.js HTTP/1.1" 304 -
10.2.70.85 - - [19/Dec/2025 04:23:17] "GET /assets/hero5.png HTTP/1.1" 200 -
10.2.70.85 - - [19/Dec/2025 04:23:17] "GET /assets/About1.jpg HTTP/1.1" 200 -
10.2.70.85 - - [19/Dec/2025 04:23:17] "GET /assets/care-environment.jpg HTTP/1.1" 200 -
10.2.70.85 - - [19/Dec/2025 04:24:14] "GET /contact.html HTTP/1.1" 304 -
10.2.70.85 - - [19/Dec/2025 04:24:14] "GET /css/style.css HTTP/1.1" 304 -
10.2.70.85 - - [19/Dec/2025 04:24:14] "GET /js/script.js HTTP/1.1" 304 -
10.2.70.85 - - [19/Dec/2025 04:24:14] "GET /assets/logo-icon.png HTTP/1.1" 304 -
10.2.70.85 - - [19/Dec/2025 04:24:14] "GET /assets/hero4.jpg HTTP/1.1" 304 -
10.2.70.85 - - [19/Dec/2025 04:24:19] "GET / HTTP/1.1" 200 -
10.2.70.85 - - [19/Dec/2025 04:24:22] "GET / HTTP/1.1" 200 -
10.2.70.85 - - [19/Dec/2025 04:24:25] "GET / HTTP/1.1" 200 -
10.2.70.85 - - [19/Dec/2025 04:24:29] "GET / HTTP/1.1" 200 -
10.2.70.85 - - [19/Dec/2025 04:24:32] "GET / HTTP/1.1" 200 -
10.2.70.85 - - [19/Dec/2025 04:24:35] "GET / HTTP/1.1" 200 -
10.2.70.85 - - [19/Dec/2025 04:24:38] "GET / HTTP/1.1" 200 -
10.2.70.85 - - [19/Dec/2025 04:24:42] "GET / HTTP/1.1" 200 -
10.2.70.85 - - [19/Dec/2025 04:24:45] "GET / HTTP/1.1" 200 -
10.2.70.85 - - [19/Dec/2025 04:24:48] "GET / HTTP/1.1" 200 -
10.2.70.85 - - [19/Dec/2025 04:24:52] "GET / HTTP/1.1" 200 -
10.2.70.85 - - [19/Dec/2025 04:24:55] "GET / HTTP/1.1" 200 -
10.2.70.85 - - [19/Dec/2025 04:24:58] "GET / HTTP/1.1" 200 -
10.2.70.85 - - [19/Dec/2025 04:25:01] "GET / HTTP/1.1" 200 -
10.2.70.85 - - [19/Dec/2025 04:25:05] "GET / HTTP/1.1" 200 -
10.2.70.85 - - [19/Dec/2025 04:25:08] "GET / HTTP/1.1" 200 -
10.2.70.85 - - [19/Dec/2025 04:25:11] "GET / HTTP/1.1" 200 -
10.2.70.85 - - [19/Dec/2025 04:25:14] "GET / HTTP/1.1" 200 -
10.2.70.85 - - [19/Dec/2025 04:25:18] "GET / HTTP/1.1" 200 -
10.2.70.85 - - [19/Dec/2025 04:25:21] "GET / HTTP/1.1" 200 -
10.2.70.85 - - [19/Dec/2025 04:25:24] "GET / HTTP/1.1" 200 -
10.2.70.85 - - [19/Dec/2025 04:25:28] "GET / HTTP/1.1" 200 -
